name,x1-raw,x2-raw,y,length,x
object-1,473,483,545,10.0,478.0
object-2,10,20,545,10.0,15.0
object-3,473,483,540,10.0,478.0
object-4,10,20,540,10.0,15.0
object-5,473,483,535,10.0,478.0
object-6,10,20,535,10.0,15.0
object-7,473,483,530,10.0,478.0
object-8,10,20,530,10.0,15.0
object-9,473,483,525,10.0,478.0
object-10,10,20,525,10.0,15.0
object-11,473,483,520,10.0,478.0
object-12,10,20,520,10.0,15.0
object-13,473,483,515,10.0,478.0
object-14,10,20,515,10.0,15.0
object-15,473,483,510,10.0,478.0
object-16,10,20,510,10.0,15.0
object-17,473,483,505,10.0,478.0
object-18,10,20,505,10.0,15.0
object-19,473,483,500,10.0,478.0
object-20,10,20,500,10.0,15.0
object-21,473,483,495,10.0,478.0
object-22,10,20,495,10.0,15.0
object-23,473,483,490,10.0,478.0
object-24,10,20,490,10.0,15.0
object-25,473,483,485,10.0,478.0
object-26,10,20,485,10.0,15.0
object-27,473,483,480,10.0,478.0
object-28,10,20,480,10.0,15.0
object-29,473,483,475,10.0,478.0
object-30,10,20,475,10.0,15.0
object-31,473,483,470,10.0,478.0
object-32,473,483,465,10.0,478.0
object-33,473,483,460,10.0,478.0
object-34,473,483,455,10.0,478.0
object-35,473,483,450,10.0,478.0
object-36,473,483,445,10.0,478.0
object-37,473,483,440,10.0,478.0
object-38,473,483,435,10.0,478.0
object-39,473,483,430,10.0,478.0
object-40,473,483,425,10.0,478.0
object-41,473,483,420,10.0,478.0
object-42,473,483,415,10.0,478.0
object-43,473,483,410,10.0,478.0
object-44,473,483,405,10.0,478.0
object-45,473,483,400,10.0,478.0
object-46,473,483,395,10.0,478.0
object-47,473,483,390,10.0,478.0
object-48,473,483,385,10.0,478.0
object-49,473,483,380,10.0,478.0
object-50,473,483,375,10.0,478.0
object-51,473,483,370,10.0,478.0
object-52,473,483,365,10.0,478.0
object-53,473,483,360,10.0,478.0
object-54,473,483,355,10.0,478.0
object-55,473,483,350,10.0,478.0
object-56,473,483,345,10.0,478.0
object-57,473,483,340,10.0,478.0
object-58,473,483,335,10.0,478.0
object-59,473,483,330,10.0,478.0
object-60,473,483,325,10.0,478.0
object-61,473,483,320,10.0,478.0
object-62,473,483,315,10.0,478.0
object-63,473,483,310,10.0,478.0
object-64,473,483,305,10.0,478.0
object-65,473,483,300,10.0,478.0
object-66,473,483,295,10.0,478.0
object-67,473,483,290,10.0,478.0
object-68,473,483,285,10.0,478.0
object-69,473,483,280,10.0,478.0
object-70,473,483,275,10.0,478.0
object-71,473,483,270,10.0,478.0
object-72,473,483,265,10.0,478.0
object-73,473,483,260,10.0,478.0
object-74,473,483,255,10.0,478.0
object-75,473,483,250,10.0,478.0
object-76,473,483,245,10.0,478.0
object-77,473,483,240,10.0,478.0
object-78,473,483,235,10.0,478.0
object-79,473,483,230,10.0,478.0
object-80,473,483,225,10.0,478.0
object-81,473,483,220,10.0,478.0
object-82,473,483,215,10.0,478.0
object-83,473,483,210,10.0,478.0
object-84,473,483,205,10.0,478.0
object-85,473,483,200,10.0,478.0
object-86,473,483,195,10.0,478.0
object-87,473,483,190,10.0,478.0
object-88,473,483,185,10.0,478.0
object-89,473,483,180,10.0,478.0
object-90,473,483,175,10.0,478.0
object-91,473,483,170,10.0,478.0
object-92,473,483,165,10.0,478.0
object-93,473,483,160,10.0,478.0
object-94,473,483,155,10.0,478.0
object-95,473,483,150,10.0,478.0
object-96,473,483,145,10.0,478.0
object-97,473,483,140,10.0,478.0
object-98,473,483,135,10.0,478.0
object-99,473,483,130,10.0,478.0
object-100,473,483,125,10.0,478.0
object-101,473,483,120,10.0,478.0
object-102,473,483,115,10.0,478.0
object-103,473,483,110,10.0,478.0
object-104,473,483,105,10.0,478.0
object-105,473,483,100,10.0,478.0
object-106,473,483,95,10.0,478.0
object-107,473,483,90,10.0,478.0
object-108,473,483,85,10.0,478.0
object-109,473,483,80,10.0,478.0
object-110,473,483,75,10.0,478.0
object-111,473,483,70,10.0,478.0
object-112,473,483,65,10.0,478.0
object-113,473,483,60,10.0,478.0
object-114,473,483,55,10.0,478.0
object-115,473,483,50,10.0,478.0
object-116,473,483,45,10.0,478.0
object-117,473,483,40,10.0,478.0
object-118,473,483,35,10.0,478.0
object-119,473,483,30,10.0,478.0
object-120,473,483,25,10.0,478.0
object-121,473,483,20,10.0,478.0
object-122,473,483,15,10.0,478.0
object-123,473,483,10,10.0,478.0
object-1,473,483,545,10.0,478.0
object-2,10,20,545,10.0,15.0
object-3,473,483,540,10.0,478.0
object-4,10,20,540,10.0,15.0
object-5,473,483,535,10.0,478.0
object-6,10,20,535,10.0,15.0
object-7,473,483,530,10.0,478.0
object-8,10,20,530,10.0,15.0
